model,prompt_head,entropy,load_cv,load_entropy,oscillation,settling_time,state
Nomadic_Full,Solve the Fibonacci sequence using dynam,0.33480547938999816,0.8185352771053915,1.0617572362349068,0.02631578947368421,4.125,equilibrium
Nomadic_Full,"The derivative of beauty, mathematically",0.4774758920073509,0.5787918450526924,1.635015179391036,0.15789473684210525,1.56,hybrid
Nomadic_Full,Write a Python function that captures th,0.4860181244854175,1.0488088479603896,1.617652254721195,0.18421052631578946,2.0526315789473686,hybrid
Nomadic_Full,If consciousness were a recursive algori,0.562189890357493,0.8602325265322162,1.729722340728714,0.21052631578947367,1.3103448275862069,hybrid
Nomadic_Full,소수(素數)란 무엇인가. 그것은 고독처럼 오직 자기 자신으로만 나누어지는,0.5964533656835556,0.6373774391194259,1.4193282309952275,0.18421052631578946,1.625,equilibrium
MoD,Solve the Fibonacci sequence using dynam,0.24747181489990772,0.4077376607269219,1.0204833708599783,0.15789473684210525,1.7727272727272727,equilibrium
MoD,"The derivative of beauty, mathematically",0.4972437174903462,0.4077376607269219,1.00598819291234,0.2894736842105263,1.6956521739130435,equilibrium
MoD,Write a Python function that captures th,0.2134624640045814,0.7992183680973476,0.7795648451405359,0.13157894736842105,2.6,equilibrium
MoD,If consciousness were a recursive algori,0.6154538679926645,1.0470195794900696,0.5684236175218302,0.05263157894736842,4.875,equilibrium
MoD,소수(素數)란 무엇인가. 그것은 고독처럼 오직 자기 자신으로만 나누어지는,0.10092181806737965,0.6373774391512946,0.9002560509685369,0.21052631578947367,1.7727272727272727,equilibrium
ECR,Solve the Fibonacci sequence using dynam,0.6746535439044237,1.0700467278446302,0.858052066605218,0.07894736842105263,3.0,equilibrium
ECR,"The derivative of beauty, mathematically",1.1990634977817536,1.2041594576685015,1.3033786188913388,0.13157894736842105,1.9,equilibrium
ECR,Write a Python function that captures th,1.2926502883434297,0.7549834433760783,1.7997358257753282,0.07894736842105263,1.3448275862068966,hybrid
ECR,If consciousness were a recursive algori,1.2211181640625,1.2644168614189062,1.3665575204680447,0.18421052631578946,1.6956521739130435,equilibrium
ECR,소수(素數)란 무엇인가. 그것은 고독처럼 오직 자기 자신으로만 나누어지는,0.24881862457841636,0.6499999999675,0.46372643961941024,0.18421052631578946,2.642857142857143,equilibrium
Sigma_MoE,Solve the Fibonacci sequence using dynam,0.23270042872609337,0.8499999999575,0.2663844630679204,0.07894736842105263,5.333333333333333,equilibrium
Sigma_MoE,"The derivative of beauty, mathematically",0.5292196730151772,0.8689073597622475,1.005221143202395,0.18421052631578946,1.9473684210526316,equilibrium
Sigma_MoE,Write a Python function that captures th,0.27411472480744126,0.849264387382067,1.867197403906556,0.07894736842105263,1.5,hybrid
Sigma_MoE,If consciousness were a recursive algori,0.3975020191271245,1.0770329612653458,1.2279714369325476,0.15789473684210525,1.8095238095238095,equilibrium
Sigma_MoE,소수(素數)란 무엇인가. 그것은 고독처럼 오직 자기 자신으로만 나누어지는,0.2905583325004045,0.886002257200567,1.4574917465344146,0.13157894736842105,1.3103448275862069,equilibrium
BiLevel_MoE,Solve the Fibonacci sequence using dynam,0.23193197022556528,0.0499999999975,0.6918966590050799,0.13157894736842105,2.4375,equilibrium
BiLevel_MoE,"The derivative of beauty, mathematically",0.5282478332519531,0.6499999999675,0.46372643961941024,0.10526315789473684,3.5454545454545454,equilibrium
BiLevel_MoE,Write a Python function that captures th,0.5330428394954652,1.0434318376572027,0.5832353578419929,0.13157894736842105,3.25,equilibrium
BiLevel_MoE,If consciousness were a recursive algori,0.3103024338807407,0.099999999995,0.6881388135135884,0.3684210526315789,1.625,equilibrium
BiLevel_MoE,소수(素數)란 무엇인가. 그것은 고독처럼 오직 자기 자신으로만 나누어지는,0.17076292001947876,0.7656696414982525,0.7375081629249736,0.07894736842105263,2.4375,equilibrium
RoutingFree_MoE,Solve the Fibonacci sequence using dynam,0.4163807898759842,0.6557438522498705,2.1922962263296615,0.2631578947368421,1.054054054054054,hybrid
RoutingFree_MoE,"The derivative of beauty, mathematically",0.9933813175186514,0.6010407638432792,2.219911695958838,0.07894736842105263,1.0833333333333333,hybrid
RoutingFree_MoE,Write a Python function that captures th,1.0018234439194202,0.8514693180408792,2.1608700156181726,0.05263157894736842,1.0263157894736843,hybrid
RoutingFree_MoE,If consciousness were a recursive algori,1.1174191236495972,0.5123475381698931,2.1527751413622207,0.02631578947368421,1.0833333333333333,hybrid
RoutingFree_MoE,소수(素數)란 무엇인가. 그것은 고독처럼 오직 자기 자신으로만 나누어지는,0.35134259387850764,0.5777110002556965,2.2461216523965755,0.0,1.0263157894736843,hybrid
