model,domain,run,entropy,perplexity,repeat_rate,switch_rate,load_cv,load_entropy,gini,settling_time,oscillation,latency_ms,text,phase
Vanilla,math,0,0.7333572387695313,1.6423102741850752,0.0714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,119.04651397958796,24를 6으로 나누면 4가 나온다. 24를 6으로 나눌때 24를 2배하고 6를 2배한다. 48를 12로 나�,stable
Nomadic_Blind,math,0,0.021842220201016182,1.007056678549792,0.0714285714285714,0.0,0.0,-1.000000082690371e-10,-0.9999999999500002,40.0,0.0,124.48427685714185,24를 6으로 나누면 4가 나온다. 4를 2로 나누면 2가 나온다. 2를 2로 나누면 1이 나온다. ,stable
Nomadic_Full,math,0,0.45307530015707015,1.7756325019573247,0.0,0.725,0.6164414002352535,1.207973687192232,0.0750000000231249,1.3448275862068966,0.13157894736842105,257.527862734698,24를 6으로 나누면 4의 배수이다. 24배수인 4와 8을 2로 나누면 2의 배수이다. 2와 4는 2로,stable
MoD,math,0,0.21499626697041094,1.1145934128420132,0.06666666666666665,0.025,0.9499999999525,0.11690684893753106,-0.024999999974375076,39.0,0.0,127.90793308162465,24를 6으로 나누면 4의 배수이다. 24에서 6을 빼면 18이다. 18은 6으로 나누면 3의 배수이다. 그래서 24는,stable
ECR,math,0,1.2896043300628661,2.146992800100908,0.0,0.8,0.7549834433760783,1.821589455494312,0.2625000000184373,1.21875,0.13157894736842105,273.5181081224422,"24를 6으로 나누면 4의 제곱으로 나뉘는다는 것을 이용하여 24를 4로 나눈 값의 제곱을 구한다.
24/4의 값은",stable
Sigma_MoE,math,0,0.6118869721889496,1.5949981777513145,0.11764705882352944,0.725,1.2144957798758502,1.6940539452351029,0.38333333334874997,1.3103448275862069,0.10526315789473684,729.4983939796018,"24를 6으로 나누면 나머지가 0이다. 이 사실을 이용하면 24를 2로 나누고, 2로 나누고, 2로 나누고 하는 과정을 거치",stable
BiLevel_MoE,math,0,0.3397564128041267,1.2303101865500818,0.375,0.475,0.7656696414982525,0.7375081629249736,0.08333333335624993,2.0526315789473686,0.21052631578947367,215.8425516530658,24를 6으로 나누면 4의 나머지가 된다. 24를 6으로 나누면 0의 나머지가 된다. 24를 6으로 나누면 2의 나머지가,stable
RoutingFree_MoE,math,0,1.624932861328125,4.0064172343003595,0.05555555555555558,0.9,0.4690415758885346,1.9624984427426941,0.13750000002156237,1.0833333333333333,0.05263157894736842,293.3827217959184,"24를 6으로 나누면 4의 나머리가 나온다.
definitely, the 24/6=4, it means the remainder is 4.
and 4/6=0, remainder is ",stable
Nomadic_NoDx,math,0,0.05810140545622731,1.3336940125526917,0.0,0.0,0.0,-1.000000082690371e-10,-0.9999999999500002,40.0,0.0,125.10800132654087,"24를 6으로 나누면 4가 나온다. 24의 약수는 1, 2, 3, 4, 6, 8, 12, 24이다. 24",stable
Nomadic_NoEnv,math,0,0.025689813598966004,1.0101554682095417,0.0714285714285714,0.0,0.0,-1.000000082690371e-10,-0.9999999999500002,40.0,0.0,124.64571044898659,24를 6으로 나누면 4가 나온다. 4를 2로 나누면 2가 나온다. 2를 2로 나누면 1이 나온다. ,stable
Nomadic_NoErr,math,0,0.2493849800899625,1.162375958063777,0.0714285714285714,0.85,0.6855654599372696,1.5144112738272992,0.20833333335312498,1.1470588235294117,0.15789473684210525,284.4778541428575,24를 6으로 나누면 4의 배수이다. 24의 2배수는 48이다. 48를 6으로 나누면 8의 배수이다. 48의 2,stable
Vanilla,math,1,0.4761512756347656,1.3896964570282782,0.1428571428571429,0.0,0.0,0.0,0.0,0.0,0.0,118.74674551019817,24를 6으로 나누면 나머지가 5입니다. 24를 5로 나누면 나머지가 4입니다. 24를 2로 나누면 나머지가 0입니다. ,stable
Nomadic_Blind,math,1,0.021842220201016182,1.007056678549792,0.0714285714285714,0.0,0.0,-1.000000082690371e-10,-0.9999999999500002,40.0,0.0,123.74103534693859,24를 6으로 나누면 4가 나온다. 4를 2로 나누면 2가 나온다. 2를 2로 나누면 1이 나온다. ,stable
Nomadic_Full,math,1,0.2443170391023159,1.3982481369978035,0.0714285714285714,0.775,0.6708203931660843,1.3674034940025905,0.17000000002074978,1.2580645161290323,0.18421052631578946,264.14560046938203,24를 6으로 나누면 4의 배수이다. 24을 2로 나누면 12이다. 12를 2로 나누면 6의 배수이다. 6을 ,stable
MoD,math,1,0.26690327962860466,1.431087755304202,0.0,0.025,0.9499999999525,0.11690684893753106,-0.024999999974375076,39.0,0.0,127.8208475510206,24를 6으로 나누면 4의 나머지가 3이다. 6으로 나누어 떨어지지 않으므로 1을 더해 25가 된다. 25를 5으로 나누,stable
ECR,math,1,1.2444025039672852,2.6128707854224573,0.05882352941176472,0.6,1.2328828003780408,1.3271118965055955,0.4285714285857143,1.5833333333333333,0.10526315789473684,237.43669357142554,"24를 6으로 나누면 4가 되고 6을 6으로 나누면 1이 되는 이유는 무엇인가? (생각해보기)

---

1. 24는 6으로 나누",stable
Sigma_MoE,math,1,0.41453373432159424,1.3204979208426932,0.11764705882352944,0.875,0.9110433577322212,1.6681958283116707,0.35625000001609364,1.1142857142857143,0.21052631578947367,722.3196407755069,24를 6으로 나누면 4의 나머지가 나온다. 24를 6으로 나누는 것은 4를 3으로 나누는 것과 같다. 4를 3으로 나,stable
BiLevel_MoE,math,1,0.4517002165317535,1.7454473227023979,0.0,0.55,0.6604922406316084,0.789837882955865,2.5000002068509275e-11,1.7727272727272727,0.23684210526315788,231.51700312244392,24를 6으로 나누면 4가 나온다. 6은 3과 2의 곱이다. 24는 3과 8의 곱이다. 24를 2로 나,stable
RoutingFree_MoE,math,1,1.146124267578125,2.424953946079687,0.0,0.9,0.47958315223535525,1.9620983653588762,0.14375000002140625,1.0833333333333333,0.05263157894736842,296.4568827755083,"24를 6으로 나누면 4의 나머지가 나온다.
그래서 24를 4로 나누고, 나머지를 6로 나눈다.
이렇게 4로 나눈",stable
Nomadic_NoDx,math,1,0.04286409560845215,1.0556167463128487,0.0714285714285714,0.0,0.0,-1.000000082690371e-10,-0.9999999999500002,40.0,0.0,124.34492038776123,24를 6으로 나누면 4가 나온다. 24를 2로 나누면 12가 나온다. 12를 2로 나누면 6이 나온다. ,stable
Nomadic_NoEnv,math,1,0.025689813598966004,1.0101554682095417,0.0714285714285714,0.0,0.0,-1.000000082690371e-10,-0.9999999999500002,40.0,0.0,124.16648879591274,24를 6으로 나누면 4가 나온다. 4를 2로 나누면 2가 나온다. 2를 2로 나누면 1이 나온다. ,stable
Nomadic_NoErr,math,1,0.5576235244981944,1.867190432511145,0.0,0.775,0.7483314772425385,1.4780233780732535,0.2500000000187499,1.2580645161290323,0.07894736842105263,271.0405795102017,"24를 6으로 나누면 4의 배수가 되므로 24는 6의 제곱수이다. 이와 같이 어떤 양의 정수(a)가 2개의 nguyên수(b, c)로",stable
Vanilla,math,2,0.25071229934692385,1.182812607614999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.96099304082169,24를 6으로 나누면 4의 배수이다. 25를 5로 나누면 5의 배수이다. 26을 2로 나누면 13의 배수이다. ,stable
Nomadic_Blind,math,2,0.021842220201016182,1.007056678549792,0.0714285714285714,0.0,0.0,-1.000000082690371e-10,-0.9999999999500002,40.0,0.0,124.10722779591475,24를 6으로 나누면 4가 나온다. 4를 2로 나누면 2가 나온다. 2를 2로 나누면 1이 나온다. ,stable
Nomadic_Full,math,2,0.7178595934063197,2.5919064287800127,0.0,0.675,1.044030650682249,1.611287916991292,0.39375000001515625,1.4444444444444444,0.07894736842105263,254.0488736326459,24를 6으로 나누면 4의 배수로 떨어지지 않습니다. 24를 8으로 나눌 수는 있지만 8을_fontsize=12pt;_7으로 나누는 것은,stable
MoD,math,2,0.1758941974490881,1.1039781056599713,0.1578947368421053,0.2,1.102837249922926,0.4902932688359366,0.2166666666862499,4.875,0.10526315789473684,158.38891448979388,24를 6으로 나누면 4의 배수이다. 24 + 6 = 30. 30을 6으로 나누면 5의 배수이다. 30 + 6 = 36,stable
ECR,math,2,1.1880764007568358,2.4774821095432706,0.11111111111111116,0.85,0.8223442099848989,1.8687518541245212,0.33333333335000004,1.1470588235294117,0.13157894736842105,283.168607081632,24를 6으로 나누면 4의 배수가 되는 수를 구해보려 합니다. 24를 2로 나눈 몫을 6으로 나눈 몫을 구해보려 합니다. 먼저,stable
Sigma_MoE,math,2,0.14371872935444116,1.09387909593096,0.2857142857142857,0.675,0.8558621382814084,1.6048155347588093,0.30714285716017853,1.4074074074074074,0.05263157894736842,730.550260367339,24를 6으로 나누면 나머지가 0이다. 6을 2로 나누면 나머지가 0이다. 2를 1로 나누면 나머지가 0이다. ,stable
BiLevel_MoE,math,2,0.5785717129707336,1.7726265038079,0.0,0.325,0.9611191392649703,0.6116510620019808,0.16666666668749985,3.0,0.15789473684210525,184.5881276122429,24를 6으로 나누면 4가 되고 4를 2로 나누면 2가 된다. 이와 같이 두 수를 두번씩 나누어 가장 작은 수를 구하는것을 반,stable
